Nation,Consumptions,Type,Year
Netherlands,48.11,Natural Gas,1991
Poland,102.83,Electricity,1991
Poland,10.74,Natural Gas,1991
Portugal,25.26,Electricity,1991
Portugal,0,Natural Gas,1991
Romania,50.88,Electricity,1991
Romania,29.43,Natural Gas,1991
Spain,132.08,Electricity,1991
Spain,6.44,Natural Gas,1991
Sweden,132.34,Electricity,1991
Sweden,0.64,Natural Gas,1991
United Kingdom,290.84,Electricity,1991
United Kingdom,62.8,Natural Gas,1991
Norway,99.9,Electricity,1991
Norway,2.22,Natural Gas,1991
Turkey,49.28,Electricity,1991
Turkey,4.24,Natural Gas,1991
Kazakhstan,92.81,Electricity,1991
Kazakhstan,12.55,Natural Gas,1991
Russia,898.51,Electricity,1991
Russia,486.02,Natural Gas,1991
Ukraine,223.89,Electricity,1991
Ukraine,115.05,Natural Gas,1991
Uzbekistan,45.58,Electricity,1991
Uzbekistan,41.17,Natural Gas,1991
Canada,437.95,Electricity,1991
Canada,67.69,Natural Gas,1991
United States,2854.26,Electricity,1991
United States,536.24,Natural Gas,1991
Argentina,42.28,Electricity,1991
Argentina,23.95,Natural Gas,1991
Brazil,222.81,Electricity,1991
Brazil,3.89,Natural Gas,1991
Chile,17.27,Electricity,1991
Chile,1.14,Natural Gas,1991
Colombia,27.67,Electricity,1991
Colombia,4.46,Natural Gas,1991
Mexico,102.53,Electricity,1991
Mexico,27.42,Natural Gas,1991
Venezuela,50.45,Electricity,1991
Venezuela,17.6,Natural Gas,1991
China,581.21,Electricity,1991
China,15.89,Natural Gas,1991
India,235.62,Electricity,1991
India,14.44,Natural Gas,1991
Indonesia,31.48,Electricity,1991
Indonesia,18.84,Natural Gas,1991
Japan,805.21,Electricity,1991
Japan,62.55,Natural Gas,1991
Malaysia,22.39,Electricity,1991
Malaysia,11.62,Natural Gas,1991
South Korea,104.37,Electricity,1991
South Korea,3.52,Natural Gas,1991
Taiwan,87.08,Electricity,1991
Taiwan,2.76,Natural Gas,1991
Thailand,43.4,Electricity,1991
Thailand,7.9,Natural Gas,1991
Australia,136.95,Electricity,1991
Australia,16.55,Natural Gas,1991
New Zealand,29.1,Electricity,1991
New Zealand,5.38,Natural Gas,1991
Algeria,14.06,Electricity,1991
Algeria,15.31,Natural Gas,1991
Egypt,37.98,Electricity,1991
Egypt,9.08,Natural Gas,1991
Nigeria,8.29,Electricity,1991
Nigeria,4.88,Natural Gas,1991
South Africa,140.17,Electricity,1991
South Africa,1.87,Natural Gas,1991
Iran,54.4,Electricity,1991
Iran,25.63,Natural Gas,1991
Kuwait,8.12,Electricity,1991
Kuwait,0.83,Natural Gas,1991
Saudi Arabia,67.44,Electricity,1991
Saudi Arabia,24.36,Natural Gas,1991
United Arab Emirates,14.58,Electricity,1991
United Arab Emirates,20.36,Natural Gas,1991
Belgium,63.87,Electricity,1992
Belgium,10.6,Natural Gas,1992
Czech Rep.,48.15,Electricity,1992
Czech Rep.,7.26,Natural Gas,1992
France,355.87,Electricity,1992
France,31.93,Natural Gas,1992
Germany,475.88,Electricity,1992
Germany,72.46,Natural Gas,1992
Italy,228.07,Electricity,1992
Italy,49.76,Natural Gas,1992
Netherlands,79.93,Electricity,1992
Netherlands,46.63,Natural Gas,1992
Poland,98.44,Electricity,1992
Poland,10.35,Natural Gas,1992
Portugal,26.04,Electricity,1992
Portugal,0,Natural Gas,1992
Romania,46.74,Electricity,1992
Romania,26.48,Natural Gas,1992
Spain,134.25,Electricity,1992
Spain,6.8,Natural Gas,1992
Sweden,130.05,Electricity,1992
Sweden,0.72,Natural Gas,1992
United Kingdom,291.45,Electricity,1992
United Kingdom,62.03,Natural Gas,1992
Norway,100.44,Electricity,1992
Norway,3.7,Natural Gas,1992
Turkey,53.99,Electricity,1992
Turkey,4.63,Natural Gas,1992
Kazakhstan,88.02,Electricity,1992
Kazakhstan,18.42,Natural Gas,1992
Russia,838.32,Electricity,1992
Russia,462.39,Natural Gas,1992
Ukraine,207.96,Electricity,1992
Ukraine,106.29,Natural Gas,1992
Uzbekistan,42.7,Electricity,1992
Uzbekistan,41.44,Natural Gas,1992
Canada,442.49,Electricity,1992
Canada,70.83,Natural Gas,1992
United States,2865.56,Electricity,1992
United States,550.68,Natural Gas,1992
Argentina,45.04,Electricity,1992
Argentina,24.68,Natural Gas,1992
Brazil,227.97,Electricity,1992
Brazil,4.15,Natural Gas,1992
Chile,19.61,Electricity,1992
Chile,1.36,Natural Gas,1992
Colombia,29.01,Electricity,1992
Colombia,4.39,Natural Gas,1992
Mexico,106.12,Electricity,1992
Mexico,27.81,Natural Gas,1992
Venezuela,54.05,Electricity,1992
Venezuela,17.79,Natural Gas,1992
China,644.98,Electricity,1992
China,15.88,Natural Gas,1992
India,251.83,Electricity,1992
India,16.12,Natural Gas,1992
Indonesia,34.96,Electricity,1992
Indonesia,20.18,Natural Gas,1992
Japan,812.28,Electricity,1992
Japan,63.2,Natural Gas,1992
Malaysia,25.8,Electricity,1992
Malaysia,12.6,Natural Gas,1992
South Korea,115.25,Electricity,1992
South Korea,4.6,Natural Gas,1992
Taiwan,93.03,Electricity,1992
Taiwan,2.9,Natural Gas,1992
Thailand,49.31,Electricity,1992
Thailand,8.47,Natural Gas,1992
Australia,138.57,Electricity,1992
Australia,17.11,Natural Gas,1992
New Zealand,28.71,Electricity,1992
New Zealand,5.53,Natural Gas,1992
Algeria,15.13,Electricity,1992
Algeria,15.73,Natural Gas,1992
Egypt,39.01,Electricity,1992
Egypt,9.78,Natural Gas,1992
Nigeria,8.7,Electricity,1992
Nigeria,5.13,Natural Gas,1992
South Africa,140.69,Electricity,1992
South Africa,1.88,Natural Gas,1992
Iran,59.2,Electricity,1992
Iran,27.19,Natural Gas,1992
Kuwait,13.2,Electricity,1992
Kuwait,4.91,Natural Gas,1992
Saudi Arabia,74.11,Electricity,1992
Saudi Arabia,27,Natural Gas,1992
United Arab Emirates,15.7,Electricity,1992
United Arab Emirates,18.75,Natural Gas,1992
Belgium,64.64,Electricity,1993
Belgium,11.1,Natural Gas,1993
Czech Rep.,47.77,Electricity,1993
Czech Rep.,7.3,Natural Gas,1993
France,356.19,Electricity,1993
France,32.31,Natural Gas,1993
Germany,467.16,Electricity,1993
Germany,74.88,Natural Gas,1993
Italy,228.96,Electricity,1993
Italy,51.07,Natural Gas,1993
Netherlands,81.03,Electricity,1993
Netherlands,47.87,Natural Gas,1993
Poland,99.34,Electricity,1993
Poland,10.67,Natural Gas,1993
Portugal,26.38,Electricity,1993
Portugal,0,Natural Gas,1993
Romania,42.69,Electricity,1993
Romania,24.95,Natural Gas,1993
Spain,134.1,Electricity,1993
Spain,6.7,Natural Gas,1993
Sweden,130.6,Electricity,1993
Sweden,0.8,Natural Gas,1993
United Kingdom,295.75,Electricity,1993
United Kingdom,68.58,Natural Gas,1993
Norway,101.93,Electricity,1993
Norway,4.2,Natural Gas,1993
Turkey,59.24,Electricity,1993
Turkey,5.15,Natural Gas,1993
Kazakhstan,74.17,Electricity,1993
Kazakhstan,13.01,Natural Gas,1993
Russia,781.57,Electricity,1993
Russia,447.99,Natural Gas,1993
Ukraine,190.19,Electricity,1993
Ukraine,99.25,Natural Gas,1993
Uzbekistan,41.58,Electricity,1993
Uzbekistan,43.97,Natural Gas,1993
Canada,451.77,Electricity,1993
Canada,74.48,Natural Gas,1993
United States,2963.14,Electricity,1993
United States,574.73,Natural Gas,1993
Argentina,48.45,Electricity,1993
Argentina,24.21,Natural Gas,1993
Brazil,238.64,Electricity,1993
Brazil,4.51,Natural Gas,1993
Chile,20.65,Electricity,1993
Chile,1.27,Natural Gas,1993
Colombia,31.68,Electricity,1993
Colombia,4.56,Natural Gas,1993
Mexico,109.88,Electricity,1993
Mexico,27.71,Natural Gas,1993
Venezuela,55.51,Electricity,1993
Venezuela,18.63,Natural Gas,1993
China,715.63,Electricity,1993
China,16.77,Natural Gas,1993
India,270.56,Electricity,1993
India,16.34,Natural Gas,1993
Indonesia,38.96,Electricity,1993
Indonesia,21.38,Natural Gas,1993
Japan,818.27,Electricity,1993
Japan,64.7,Natural Gas,1993
Malaysia,28.49,Electricity,1993
Malaysia,12.1,Natural Gas,1993
South Korea,127.73,Electricity,1993
South Korea,5.75,Natural Gas,1993
Taiwan,101.39,Electricity,1993
Taiwan,2.82,Natural Gas,1993
Thailand,56.28,Electricity,1993
Thailand,9.5,Natural Gas,1993
Australia,142.69,Electricity,1993
Australia,17.87,Natural Gas,1993
New Zealand,29.74,Electricity,1993
New Zealand,5.36,Natural Gas,1993
Algeria,15.14,Electricity,1993
Algeria,16.6,Natural Gas,1993
Egypt,40.76,Electricity,1993
Egypt,11.54,Natural Gas,1993
Nigeria,10,Electricity,1993
Nigeria,5.6,Natural Gas,1993
South Africa,146.08,Electricity,1993
South Africa,2.1,Natural Gas,1993
Iran,63.1,Electricity,1993
Iran,31.42,Natural Gas,1993
Kuwait,16.07,Electricity,1993
Kuwait,8.7,Natural Gas,1993
Saudi Arabia,82.2,Electricity,1993
Saudi Arabia,28.09,Natural Gas,1993
United Arab Emirates,18.25,Electricity,1993
United Arab Emirates,19.64,Natural Gas,1993
Belgium,67.82,Electricity,1994
Belgium,11.35,Natural Gas,1994
Czech Rep.,49.31,Electricity,1994
Czech Rep.,7.15,Natural Gas,1994
France,363.24,Electricity,1994
France,32.24,Natural Gas,1994
Germany,465.07,Electricity,1994
Germany,77.97,Natural Gas,1994
Italy,236.56,Electricity,1994
Italy,49.49,Natural Gas,1994
Netherlands,83.68,Electricity,1994
Netherlands,46.6,Natural Gas,1994
Poland,100,Electricity,1994
Poland,11.39,Natural Gas,1994
Portugal,27.43,Electricity,1994
Portugal,0,Natural Gas,1994
Romania,40.95,Electricity,1994
Romania,23.99,Natural Gas,1994
Spain,140,Electricity,1994
Spain,7.15,Natural Gas,1994
Sweden,129.61,Electricity,1994
Sweden,0.81,Natural Gas,1994
United Kingdom,291.78,Electricity,1994
United Kingdom,71.24,Natural Gas,1994
Norway,102.92,Electricity,1994
Norway,4.41,Natural Gas,1994
Turkey,61.4,Electricity,1994
Turkey,5.49,Natural Gas,1994
Kazakhstan,61.4,Electricity,1994
Kazakhstan,10.02,Natural Gas,1994
Russia,706.81,Electricity,1994
Russia,414.39,Natural Gas,1994
Ukraine,165.81,Electricity,1994
Ukraine,88.26,Natural Gas,1994
Uzbekistan,40.43,Electricity,1994
Uzbekistan,44.6,Natural Gas,1994
Canada,457.85,Electricity,1994
Canada,77.48,Natural Gas,1994
United States,3047.32,Electricity,1994
United States,586.19,Natural Gas,1994
Argentina,52.32,Electricity,1994
Argentina,25.23,Natural Gas,1994
Brazil,247.67,Electricity,1994
Brazil,4.56,Natural Gas,1994
Chile,21.96,Electricity,1994
Chile,1.37,Natural Gas,1994
Colombia,33.37,Electricity,1994
Colombia,4.51,Natural Gas,1994
Mexico,118.46,Electricity,1994
Mexico,28.82,Natural Gas,1994
Venezuela,55.93,Electricity,1994
Venezuela,19.47,Natural Gas,1994
China,797.8,Electricity,1994
China,17.53,Natural Gas,1994
India,294.76,Electricity,1994
India,17.34,Natural Gas,1994
Indonesia,44.67,Electricity,1994
Indonesia,26.36,Natural Gas,1994
Japan,873.16,Electricity,1994
Japan,67.62,Natural Gas,1994
Malaysia,34.1,Electricity,1994
Malaysia,14.77,Natural Gas,1994
South Korea,146.54,Electricity,1994
South Korea,7.65,Natural Gas,1994
Taiwan,108.65,Electricity,1994
Taiwan,3.69,Natural Gas,1994
Thailand,62.51,Electricity,1994
Thailand,10.58,Natural Gas,1994
Australia,146.5,Electricity,1994
Australia,18.76,Natural Gas,1994
New Zealand,30.52,Electricity,1994
New Zealand,5.03,Natural Gas,1994
Algeria,15.55,Electricity,1994
Algeria,16.12,Natural Gas,1994
Egypt,42.56,Electricity,1994
Egypt,11.98,Natural Gas,1994
Nigeria,9.6,Electricity,1994
Nigeria,5.49,Natural Gas,1994
South Africa,151.6,Electricity,1994
South Africa,2.1,Natural Gas,1994
Iran,66.52,Electricity,1994
Iran,37.99,Natural Gas,1994
Kuwait,17.6,Electricity,1994
Kuwait,9.28,Natural Gas,1994
Saudi Arabia,85.91,Electricity,1994
Saudi Arabia,30.45,Natural Gas,1994
United Arab Emirates,19.94,Electricity,1994
United Arab Emirates,22.71,Natural Gas,1994
Belgium,69.83,Electricity,1995
Belgium,12.55,Natural Gas,1995
Czech Rep.,52.16,Electricity,1995
Czech Rep.,8.07,Natural Gas,1995
France,367.89,Electricity,1995
France,32.98,Natural Gas,1995
Germany,472.58,Electricity,1995
Germany,83.03,Natural Gas,1995
Italy,243.47,Electricity,1995
Italy,54.37,Natural Gas,1995
Netherlands,84.1,Electricity,1995
Netherlands,48.97,Natural Gas,1995
Poland,103.81,Electricity,1995
Poland,11.65,Natural Gas,1995
Portugal,29.29,Electricity,1995
Portugal,0,Natural Gas,1995
Romania,43.11,Electricity,1995
Romania,23.96,Natural Gas,1995
Spain,145.54,Electricity,1995
Spain,8.92,Natural Gas,1995
Sweden,132.39,Electricity,1995
Sweden,0.8,Natural Gas,1995
United Kingdom,303.81,Electricity,1995
United Kingdom,75.18,Natural Gas,1995
Norway,104.97,Electricity,1995
Norway,3.85,Natural Gas,1995
Turkey,67.39,Electricity,1995
Turkey,7.03,Natural Gas,1995
Kazakhstan,54.85,Electricity,1995
Kazakhstan,12.48,Natural Gas,1995
Russia,696.99,Electricity,1995
Russia,393.24,Natural Gas,1995
Ukraine,157.84,Electricity,1995
Ukraine,81.65,Natural Gas,1995
Uzbekistan,39.21,Electricity,1995
Uzbekistan,42,Natural Gas,1995
Canada,466.98,Electricity,1995
Canada,81.43,Natural Gas,1995
United States,3135.81,Electricity,1995
United States,609.75,Natural Gas,1995
Argentina,55.39,Electricity,1995
Argentina,27.92,Natural Gas,1995
Brazil,262.36,Electricity,1995
Brazil,4.85,Natural Gas,1995
Chile,24.48,Electricity,1995
Chile,1.36,Natural Gas,1995
Colombia,34.85,Electricity,1995
Colombia,4.79,Natural Gas,1995
Mexico,122.67,Electricity,1995
Mexico,28.45,Natural Gas,1995
Venezuela,57.45,Electricity,1995
Venezuela,21.13,Natural Gas,1995
China,848.44,Electricity,1995
China,17.8,Natural Gas,1995
India,315.2,Electricity,1995
India,20.93,Natural Gas,1995
Indonesia,49.75,Electricity,1995
Indonesia,28.98,Natural Gas,1995
Japan,890.07,Electricity,1995
Japan,70.11,Natural Gas,1995
Malaysia,39.25,Electricity,1995
Malaysia,14.48,Natural Gas,1995
South Korea,163.27,Electricity,1995
South Korea,9.26,Natural Gas,1995
Taiwan,115.84,Electricity,1995
Taiwan,3.96,Natural Gas,1995
Thailand,71.23,Electricity,1995
Thailand,11.14,Natural Gas,1995
Australia,151.12,Electricity,1995
Australia,20.14,Natural Gas,1995
New Zealand,31.14,Electricity,1995
New Zealand,4.73,Natural Gas,1995
Algeria,16.1,Electricity,1995
Algeria,16.79,Natural Gas,1995
Egypt,44.56,Electricity,1995
Egypt,12.59,Natural Gas,1995
Nigeria,9.44,Electricity,1995
Nigeria,5.38,Natural Gas,1995
South Africa,157.04,Electricity,1995
South Africa,2.1,Natural Gas,1995
Iran,68.84,Electricity,1995
Iran,42.21,Natural Gas,1995
Kuwait,17.66,Electricity,1995
Kuwait,9.28,Natural Gas,1995
Saudi Arabia,89.64,Electricity,1995
Saudi Arabia,30.33,Natural Gas,1995
United Arab Emirates,21.49,Electricity,1995
United Arab Emirates,24.79,Natural Gas,1995
Belgium,71.41,Electricity,1996
Belgium,13.95,Natural Gas,1996
Czech Rep.,54.15,Electricity,1996
Czech Rep.,9.29,Natural Gas,1996
France,384.18,Electricity,1996
France,36.69,Natural Gas,1996
Germany,479.66,Electricity,1996
Germany,92.34,Natural Gas,1996
Italy,245.95,Electricity,1996
Italy,56.19,Natural Gas,1996
Netherlands,87.63,Electricity,1996
Netherlands,54.27,Natural Gas,1996
Poland,107.29,Electricity,1996
Poland,12.73,Natural Gas,1996
Portugal,30.69,Electricity,1996
Portugal,0,Natural Gas,1996
Romania,46.15,Electricity,1996
Romania,24.18,Natural Gas,1996
Spain,151.52,Electricity,1996
Spain,9.98,Natural Gas,1996
Sweden,132.3,Electricity,1996
Sweden,0.82,Natural Gas,1996
United Kingdom,319.78,Electricity,1996
United Kingdom,87.59,Natural Gas,1996
Norway,104.14,Electricity,1996
Norway,3.37,Natural Gas,1996
Turkey,74.16,Electricity,1996
Turkey,8.21,Natural Gas,1996
Kazakhstan,48.63,Electricity,1996
Kazakhstan,9.68,Natural Gas,1996
Russia,681.01,Electricity,1996
Russia,389.08,Natural Gas,1996
Ukraine,141.94,Electricity,1996
Ukraine,88.81,Natural Gas,1996
Uzbekistan,39.79,Electricity,1996
Uzbekistan,43.6,Natural Gas,1996
Canada,474.5,Electricity,1996
Canada,85.25,Natural Gas,1996
United States,3221.31,Electricity,1996
United States,622.06,Natural Gas,1996
Argentina,58.72,Electricity,1996
Argentina,30.82,Natural Gas,1996
Brazil,274.89,Electricity,1996
Brazil,5.54,Natural Gas,1996
Chile,27.24,Electricity,1996
Chile,1.4,Natural Gas,1996
Colombia,36.21,Electricity,1996
Colombia,5.21,Natural Gas,1996
Mexico,111.29,Electricity,1996
Mexico,29.92,Natural Gas,1996
Venezuela,58.68,Electricity,1996
Venezuela,24.42,Natural Gas,1996
China,915.94,Electricity,1996
China,18.51,Natural Gas,1996
India,321.27,Electricity,1996
India,21.32,Natural Gas,1996
Indonesia,56.93,Electricity,1996
Indonesia,30.21,Natural Gas,1996
Japan,911.21,Electricity,1996
Japan,73.11,Natural Gas,1996
Malaysia,43.93,Electricity,1996
Malaysia,16.52,Natural Gas,1996
South Korea,182.47,Electricity,1996
South Korea,12.23,Natural Gas,1996
Taiwan,123.15,Electricity,1996
Taiwan,4.12,Natural Gas,1996
Thailand,77.35,Electricity,1996
Thailand,13.08,Natural Gas,1996
Australia,155.15,Electricity,1996
Australia,20.43,Natural Gas,1996
New Zealand,32.16,Electricity,1996
New Zealand,5.52,Natural Gas,1996
Algeria,16.7,Electricity,1996
Algeria,16.72,Natural Gas,1996
Egypt,49.14,Electricity,1996
Egypt,13.03,Natural Gas,1996
Nigeria,9.05,Electricity,1996
Nigeria,5.46,Natural Gas,1996
South Africa,183.18,Electricity,1996
South Africa,1.89,Natural Gas,1996
Iran,75.08,Electricity,1996
Iran,41.93,Natural Gas,1996
Kuwait,18.93,Electricity,1996
Kuwait,9.3,Natural Gas,1996
Saudi Arabia,92.23,Electricity,1996
Saudi Arabia,31.47,Natural Gas,1996
United Arab Emirates,22.85,Electricity,1996
United Arab Emirates,27.15,Natural Gas,1996
Belgium,73.32,Electricity,1997
Belgium,13.31,Natural Gas,1997
Czech Rep.,53.16,Electricity,1997
Czech Rep.,9.42,Natural Gas,1997
France,381.62,Electricity,1997
France,36.27,Natural Gas,1997
Germany,482.88,Electricity,1997
Germany,87.75,Natural Gas,1997
Italy,253.67,Electricity,1997
Italy,57.98,Natural Gas,1997
Netherlands,90.8,Electricity,1997
Netherlands,50.85,Natural Gas,1997
Poland,108.85,Electricity,1997
Poland,12.86,Natural Gas,1997
Portugal,32.44,Electricity,1997
Portugal,0.1,Natural Gas,1997
Romania,46.74,Electricity,1997
Romania,20.87,Natural Gas,1997
Spain,163.44,Electricity,1997
Spain,13.06,Natural Gas,1997
Sweden,132.04,Electricity,1997
Sweden,0.86,Natural Gas,1997
United Kingdom,321.07,Electricity,1997
United Kingdom,90.07,Natural Gas,1997
Norway,104.89,Electricity,1997
Norway,4.43,Natural Gas,1997
Turkey,81.89,Electricity,1997
Turkey,9.79,Natural Gas,1997
Kazakhstan,41.47,Electricity,1997
Kazakhstan,8.69,Natural Gas,1997
Russia,667.93,Electricity,1997
Russia,374.42,Natural Gas,1997
Ukraine,136.28,Electricity,1997
Ukraine,79.08,Natural Gas,1997
Uzbekistan,40.29,Electricity,1997
Uzbekistan,44.27,Natural Gas,1997
Canada,480.39,Electricity,1997
Canada,85.84,Natural Gas,1997
United States,3270.63,Electricity,1997
United States,643.32,Natural Gas,1997
Argentina,63.34,Electricity,1997
Argentina,31.4,Natural Gas,1997
Brazil,292.6,Electricity,1997
Brazil,6.11,Natural Gas,1997
Chile,29.65,Electricity,1997
Chile,2.36,Natural Gas,1997
Colombia,35.44,Electricity,1997
Colombia,6.56,Natural Gas,1997
Mexico,120.01,Electricity,1997
Mexico,33.78,Natural Gas,1997
Venezuela,60.09,Electricity,1997
Venezuela,24.48,Natural Gas,1997
China,952.64,Electricity,1997
China,19.63,Natural Gas,1997
India,341.13,Electricity,1997
India,24.54,Natural Gas,1997
Indonesia,64.46,Electricity,1997
Indonesia,32.63,Natural Gas,1997
Japan,917.58,Electricity,1997
Japan,75.62,Natural Gas,1997
Malaysia,50.99,Electricity,1997
Malaysia,19.85,Natural Gas,1997
South Korea,200.78,Electricity,1997
South Korea,14.86,Natural Gas,1997
Taiwan,131.77,Electricity,1997
Taiwan,4.7,Natural Gas,1997
Thailand,82.43,Electricity,1997
Thailand,16,Natural Gas,1997
Australia,160.35,Electricity,1997
Australia,20.37,Natural Gas,1997
New Zealand,33.07,Electricity,1997
New Zealand,5.97,Natural Gas,1997
Algeria,17.12,Electricity,1997
Algeria,17.84,Natural Gas,1997
Egypt,52.63,Electricity,1997
Egypt,13.35,Natural Gas,1997
Nigeria,8.84,Electricity,1997
Nigeria,6.18,Natural Gas,1997
South Africa,190.87,Electricity,1997
South Africa,1.69,Natural Gas,1997
Iran,79.31,Electricity,1997
Iran,46.74,Natural Gas,1997
Kuwait,19.92,Electricity,1997
Kuwait,9.27,Natural Gas,1997
Saudi Arabia,97.05,Electricity,1997
Saudi Arabia,32.51,Natural Gas,1997
United Arab Emirates,25.5,Electricity,1997
United Arab Emirates,29,Natural Gas,1997
Belgium,75.53,Electricity,1998
Belgium,14.66,Natural Gas,1998
Czech Rep.,52.2,Electricity,1998
Czech Rep.,9.42,Natural Gas,1998
France,393.31,Electricity,1998
France,38,Natural Gas,1998
Germany,487.48,Electricity,1998
Germany,88.45,Natural Gas,1998
Italy,260.81,Electricity,1998
Italy,62.43,Natural Gas,1998
Netherlands,94.09,Electricity,1998
Netherlands,50.22,Natural Gas,1998
Poland,108.66,Electricity,1998
Poland,12.66,Natural Gas,1998
Portugal,34.41,Electricity,1998
Portugal,0.81,Natural Gas,1998
Romania,44.03,Electricity,1998
Romania,18.71,Natural Gas,1998
Spain,169.67,Electricity,1998
Spain,13.41,Natural Gas,1998
Sweden,132.88,Electricity,1998
Sweden,0.89,Natural Gas,1998
United Kingdom,325.35,Electricity,1998
United Kingdom,93.08,Natural Gas,1998
Norway,110.46,Electricity,1998
Norway,4.95,Natural Gas,1998
Turkey,87.7,Electricity,1998
Turkey,10.35,Natural Gas,1998
Kazakhstan,38.46,Electricity,1998
Kazakhstan,8.69,Natural Gas,1998
Russia,649.72,Electricity,1998
Russia,378.39,Natural Gas,1998
Ukraine,129.8,Electricity,1998
Ukraine,70.93,Natural Gas,1998
Uzbekistan,40.14,Electricity,1998
Uzbekistan,50.62,Natural Gas,1998
Canada,477.61,Electricity,1998
Canada,83,Natural Gas,1998
United States,3373.86,Electricity,1998
United States,630.41,Natural Gas,1998
Argentina,68.33,Electricity,1998
Argentina,32.6,Natural Gas,1998
Brazil,304.71,Electricity,1998
Brazil,6.37,Natural Gas,1998
Chile,31.25,Electricity,1998
Chile,3.35,Natural Gas,1998
Colombia,34.48,Electricity,1998
Colombia,7.62,Natural Gas,1998
Mexico,129.43,Electricity,1998
Mexico,38.94,Natural Gas,1998
Venezuela,61.17,Electricity,1998
Venezuela,25.22,Natural Gas,1998
China,986.45,Electricity,1998
China,20.18,Natural Gas,1998
India,357.75,Electricity,1998
India,25.71,Natural Gas,1998
Indonesia,65.26,Electricity,1998
Indonesia,35.87,Natural Gas,1998
Japan,937.99,Electricity,1998
Japan,77.07,Natural Gas,1998
Malaysia,53.24,Electricity,1998
Malaysia,19.51,Natural Gas,1998
South Korea,193.47,Electricity,1998
South Korea,13.9,Natural Gas,1998
Taiwan,142.54,Electricity,1998
Taiwan,5.84,Natural Gas,1998
Thailand,80.43,Electricity,1998
Thailand,17.87,Natural Gas,1998
Australia,170.05,Electricity,1998
